Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop HP Probook 440 G8 i5 1135G7/4GB/512GB/Win10 (2H0S5PA),20.090.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
60Hz
Chống chói Anti Glare
Công nghệ IPS",,Card tích hợp - Intel Iris Xe Graphics,HP Audio Boost,"3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bản lề mở 180 độ
Bảo mật vân tay
Độ bền chuẩn quân đội MLT STD 810H",Có,Dài 321.9 mm - Rộng 213.9 mm - Dày 19.9 mm - Nặng 1.38 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,"3-cell Polymer, 45 Wh",Windows 10 Home SL,2021
Laptop HP 15s fq2556TU i7 1165G7/8GB/512GB/Win10 (46M24PA),20.090.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"USB Type-C
HDMI
2 x USB 3.1
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac Bluetooth 4.2,SD,HD webcam,,Không có đèn,Dài 358.5 mm - Rộng 242 mm - Dày 18 mm - Nặng 1.592 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Laptop Acer Aspire A514 54 53T8 i5 1135G7/8GB/1TB SSD/Win10 (NX.A2ASV.006),19.990.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),2666 MHz,20 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) SSD 1 TB M.2 PCIe,14 inch,Full HD (1920 x 1080),60 Hz,Acer ComfyView Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Acer TrueHarmony,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,,Có,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm - Nặng 1.46 kg,Vỏ nhựa - nắp lưng bằng kim loại,"Li-ion, 48 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 15 3511 i5 1135G7/4GB/512GB/OfficeH&S 2019/Win10 (P112F001BBL),19.990.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,Card tích hợp - Intel Iris Xe Graphics,Realtek ALC3204,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Asus VivoBook S433EA i5 1135G7/8GB/512GB/Win10 (AM439T),19.490.000₫,Intel Core i5 Tiger Lake - 1135G7,,,2.40 GHz,Turbo Boost 4.2 GHz,,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,14 inch,Full HD (1920 x 1080),,"60Hz
Chống chói Anti Glare
Tấm nền IPS
LED Backlit",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"1 x USB 3.2
Thunderbolt 4 USB-C
2 x USB 2.0
HDMI",Wi-Fi 6 (802.11ax) Bluetooth 5.0,Micro SD,HD webcam,Numberpad,Có,Dài Dài 324 mm - - Rộng Rộng 213 mm - Dày Dày 15.9 mm - Nặng 1.4 kg,Vỏ kim loại,"3-cell Li-ion, 50 Wh",Windows 10 Home SL,2020
Laptop Asus VivoBook TM420IA R7 4700U/8GB/512GB/Touch/Pen/Win10 (EC227T),19.490.000₫,AMD Ryzen 7 - 4700U,8,8,2.00 GHz,Turbo Boost 4.1 GHz,8 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),3200 MHz,20 GB,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
LED Backlit
Tấm nền IPS",Có,Card tích hợp - AMD Radeon Graphics,Audio by Harman/Kardon,"1 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bàn phím số trên touchpad,Có,Dài 324 mm - Rộng 220 mm - Dày 18.2 mm - Nặng 1.5 kg,Vỏ kim loại,3-cell Li-ion,Windows 10 Home SL,2021
Laptop HP 15s fq2558TU i7 1165G7/8GB/512GB/Win10 (46M26PA),19.090.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,15.6 inch,HD (1366 x 768),60 Hz,250 nits Viền màn hình mỏng,,Card tích hợp - Intel Iris Xe Graphics,HP Audio Boost Realtek High Definition Audio,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.2 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 358.5 mm - Rộng 242 mm - Dày 18 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 13 5310 i3 1125G4/8GB/256GB/Office H&S2019/Win10 (N3I3116W),18.990.000₫,Intel Core i3 Tiger Lake - 1125G4,4,8,2.00 GHz,Turbo Boost 3.7 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",13.3 inch,Full HD+ (1920 x 1200),60 Hz,"Chống chói Anti Glare
100% sRGB
Độ sáng 300 nits
WVA",,Card tích hợp - Intel UHD Graphics,High Definition (HD) Audio,"Jack tai nghe 3.5 mm
2 x Thunderbolt 4 USB-C
HDMI
1 x USB 3.2 (Always on)",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Bảo mật vân tay,Có,Dài 296.78 mm - Rộng 210 mm - Dày 15.9 mm - Nặng 1.28 kg,Vỏ kim loại,"4-cell Li-ion, 54 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),18.890.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 45 Wh",Windows 10 Home SL,2020
Laptop HP Pavilion 15 eg0505TU i5 1135G7/8GB/512GB/Win10 (46M02PA),18.790.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",,Card tích hợp - Intel Iris Xe Graphics,Bang & Olufsen audio,"2 x USB 3.1
HDMI
USB Type-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.677 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (AM888T),18.790.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
250 nits
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Asus VivoBook X515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BQ186T),18.690.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),3200 MHz,20 GB,"Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Công nghệ IPS
LED Backlit",,"Card rời - NVIDIA GeForce MX330, 2 GB",SonicMaster audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.1 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,Bảo mật vân tay,Không có đèn,Dài 360.2 mm - Rộng 234.9 mm - Dày 19.9 mm - Nặng 1.8 kg,Vỏ nhựa,"2-cell Li-ion, 37 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 3501 i5 1135G7/4GB/512GB/Win10 (P90F005N3501B),18.590.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,4 GB,DDR4 (2 khe),2666 MHz,16 GB,512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,"Chống chói Anti Glare
WVA
LED Backlight",,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"2 x USB 3.2
LAN (RJ45)
USB 2.0
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.96 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Dell Vostro 3400 i5 1135G7/8GB/256GB//OfficeH&S 2019/Win10 (70253900),18.890.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666 MHz,16 GB,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Bluetooth Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Dell Vostro 3405 R5 3500U/8GB/512GB/Win10 (V4R53500U003W),18.090.000₫,AMD Ryzen 5 - 3500U,4,8,2.10 GHz,Turbo Boost 3.7 GHz,,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"220 nits
Chống chói Anti Glare
LED Backlit
WVA",,Card tích hợp - AMD Radeon Vega 8 Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop HP 340s G7 i5 1035G1/8GB/512GB/Win10 (36A35PA),18.090.000₫ *,Intel Core i5 Ice Lake - 1035G1,4,8,1.00 GHz,Turbo Boost 3.6 GHz,6 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666 MHz,32 GB,512 GB SSD NVMe PCIe Không hỗ trợ khe cắm HDD,14 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel UHD Graphics,Realtek High Definition Audio Loa kép (2 kênh),"HDMI
USB Type-C
2 x USB 3.1
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm - Nặng 1.38 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2020
Laptop HP Pavilion 15 eg0507TU i5 1135G7/8GB/256GB/Win10 (46M06PA),17.790.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,"Tấm nền IPS
Chống chói Anti Glare
Wled-backlit",,Card tích hợp - Intel Iris Xe Graphics,Bang & Olufsen audio,"HDMI
2 x USB 3.1
USB Type-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.682 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Lenovo IdeaPad 3 15ITL6 i5 1135G7/8GB/512GB/Win10 (82H80042VN),17.590.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),3200 MHz,12 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền TN",,Card tích hợp - Intel Iris Xe Graphics,High Definition (HD) Audio Dolby Audio,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bản lề mở 180 độ Công tắc khóa camera,Không có đèn,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm - Nặng 1.65 kg,Vỏ nhựa,"Li-ion, 38 Wh",Windows 10 Home SL,2021
Laptop Asus VivoBook X415EA i5 1135G7/8GB/512GB/Win10 (EB637T),17.290.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board 4GB +1 khe 4GB),3200 MHz,20 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,SonicMaster audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 4.1 Wi-Fi 802.11 a/b/g/n/ac,,VGA Webcam,Bảo mật vân tay,Không có đèn,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm - Nặng 1.55 kg,Vỏ nhựa,"2-cell Li-ion, 37 Wh",Windows 10 Home SL,2020
Laptop MSI Modern 14 B5M R5 5500U/8GB/512GB/Túi/Chuột/Win10 (063VN),16.990.000₫,AMD Ryzen 5 - 5500U,6,12,2.10 GHz,Turbo Boost 4.0 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,Công nghệ IPS LED,,Card tích hợp - AMD Radeon Graphics Vega 7,Nahimic Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.2 Wi-Fi 6E (802.11ax),Micro SD,HD webcam,,Có,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,"3-cell Li-Po, 39 Wh",Windows 10 Home SL,2021
Laptop HP 240 G8 i5 1135G7/4GB/256GB/Win10 (518V5PA),16.190.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Stereo speakers,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,TPM 2.0,Không có đèn,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Dell Vostro 3405 R5 3500U/4GB/256GB/Win10 (V4R53500U001W),16.090.000₫,AMD Ryzen 5 - 3500U,4,8,2.10 GHz,Turbo Boost 3.7 GHz,,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),2400 MHz,16 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"220 nits
Chống chói Anti Glare
LED Backlit
WVA",,Card tích hợp - AMD Radeon Vega 8 Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Asus VivoBook A415EA i3 1115G4/8GB/32GB+512GB/Win10 (EB568T),16.290.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,"Intel Optane 32GB (H10) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),,"250 nits
60Hz
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel UHD Graphics,Audio by Harman/Kardon,"3 x USB 2.0
HDMI
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2021
Laptop Asus VivoBook A415EA i3 1115G4/8GB/512GB/Win10 (EB559T),15.990.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel UHD Graphics,Audio by Harman/Kardon,"3 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2021
Laptop Dell Vostro 3400 i3 1115G4/8GB/256GB/OfficeH&S 2019/Win10 (70253899),15.690.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666 MHz,16 GB,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,Card tích hợp - Intel UHD Graphics,Realtek High Definition Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Bluetooth Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Dell Inspiron 15 3511 i3 1115G4/4GB/256GB/OfficeH&S 2019/Win10 (P112F001ABL),15.290.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,4 GB,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666 MHz,16 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,Card tích hợp - Intel UHD Graphics,Realtek ALC3204,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.7 kg,Vỏ nhựa,"3-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 3505 R3 3250U/8GB/256GB/Office H&S2019/Win10 (Y1N1T3),14.990.000₫,AMD Ryzen 3 - 3250U,2,4,2.60 GHz,Turbo Boost 3.5 GHz,4 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400 MHz,32 GB,256 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,Card tích hợp - AMD Radeon Graphics,Realtek High Definition Audio,"2 x USB 3.1
HDMI
LAN (RJ45)
USB 2.0",Bluetooth Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.9 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.8 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Dell Inspiron 3501 i3 1115G4/4GB/256GB/Win10 (P90F005N3501C),14.690.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,4 GB,DDR4 (2 khe),2666 MHz,16 GB,256 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,"Chống chói Anti Glare
LED Backlight
WVA",,Card tích hợp - Intel UHD Graphics,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.96 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop MSI Modern 14 B11MOL i3 1115G4/8GB/256GB/Win10 (813VN),14.390.000₫,Intel Core i3 Tiger Lake - 1115G4,2,4,3.00 GHz,Turbo Boost 4.1 GHz,6 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",14 inch,Full HD (1920 x 1080),60 Hz,"250 nits
Chống chói Anti Glare
Công nghệ IPS
LED Backlit",,Card tích hợp - Intel UHD Graphics,Hi-Res Audio Nahimic Audio,2 x USB 3.2 HDMI,Bluetooth 5.1 Wi-Fi 6E (802.11ax),Micro SD,HD webcam,,Có,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,Vỏ kim loại,"3-cell Li-ion, 39 Wh",Windows 10 Home SL,2021
